qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
144	Four-d4-b4-m05-g1	0.209614	0.075737	0.217661	0.076163	0.060979	0.012067	0.281719	0.143429	0.069001	0.041089
144	Four-d4-b6-m1-g1	0.189328	0.055452	0.216293	0.074796	0.057339	0.008427	0.276442	0.138152	0.064545	0.036633
144	Four-d6-b4-m1-g1	0.211256	0.077379	0.214344	0.072847	0.061464	0.012552	0.283776	0.145486	0.072916	0.045004
161	BM25	0.486519	0.000000	0.491463	0.000000	0.108397	0.000000	0.275403	0.000000	0.155236	0.000000
161	DeepSeek-RRF	0.521053	0.034535	0.491367	-0.000096	0.105101	-0.003296	0.367998	0.092596	0.206307	0.051071
161	BGE-o2	0.606692	0.120173	0.562419	0.070956	0.099015	-0.009382	0.367998	0.092596	0.212030	0.056794
161	Ensemble3	0.606692	0.120173	0.568976	0.077513	0.102918	-0.005479	0.367998	0.092596	0.214969	0.059733
161	Four-d2-b2-m1-g1	0.614825	0.128306	0.557309	0.065846	0.108211	-0.000186	0.367998	0.092596	0.209587	0.054351
161	Four-d4-b2-m1-g1	0.605142	0.118624	0.556762	0.065299	0.106491	-0.001906	0.367998	0.092596	0.210614	0.055378
161	Four-d4-b4-m1-g1	0.614089	0.127570	0.555508	0.064045	0.107129	-0.001268	0.366245	0.090842	0.204183	0.048947
161	Four-d4-b4-m05-g1	0.617946	0.131428	0.548248	0.056785	0.107129	-0.001268	0.359984	0.084581	0.200113	0.044877
161	Four-d4-b6-m1-g1	0.617946	0.131428	0.548104	0.056641	0.107129	-0.001268	0.344495	0.069092	0.193746	0.038510
161	Four-d6-b4-m1-g1	0.613575	0.127057	0.555230	0.063767	0.108066	-0.000331	0.367998	0.092596	0.205204	0.049968
200	BM25	0.145789	0.000000	0.194850	0.000000	0.061208	0.000000	0.146024	0.000000	0.046924	0.000000
200	DeepSeek-RRF	0.152906	0.007117	0.156595	-0.038255	0.061454	0.000246	0.177118	0.031094	0.051377	0.004452
200	BGE-o2	0.342962	0.197173	0.340347	0.145497	0.060962	-0.000246	0.177118	0.031094	0.062189	0.015264
200	Ensemble3	0.379279	0.233490	0.344181	0.149331	0.062803	0.001595	0.177118	0.031094	0.064070	0.017145
200	Four-d2-b2-m1-g1	0.414519	0.268730	0.357875	0.163025	0.061535	0.000326	0.177118	0.031094	0.066311	0.019386
200	Four-d4-b2-m1-g1	0.312920	0.167131	0.290357	0.095507	0.066792	0.005584	0.177118	0.031094	0.061854	0.014929
200	Four-d4-b4-m1-g1	0.266934	0.121146	0.255755	0.060905	0.064972	0.003764	0.177118	0.031094	0.059234	0.012309
200	Four-d4-b4-m05-g1	0.244275	0.098487	0.226007	0.031157	0.066567	0.005359	0.175523	0.029498	0.057263	0.010338
200	Four-d4-b6-m1-g1	0.240886	0.095097	0.234312	0.039462	0.066567	0.005359	0.176443	0.030419	0.057740	0.010816
200	Four-d6-b4-m1-g1	0.249264	0.103475	0.229930	0.035080	0.065893	0.004684	0.177118	0.031094	0.058070	0.011146
213	BM25	0.223451	0.000000	0.239660	0.000000	0.083950	0.000000	0.250590	0.000000	0.064125	0.000000
213	DeepSeek-RRF	0.408487	0.185036	0.323523	0.083863	0.106446	0.022496	0.343241	0.092652	0.113134	0.049009
213	BGE-o2	0.582241	0.358791	0.548384	0.308725	0.147367	0.063416	0.343241	0.092652	0.165807	0.101682
213	Ensemble3	0.593252	0.369801	0.524217	0.284558	0.147781	0.063830	0.343241	0.092652	0.164985	0.100860
213	Four-d2-b2-m1-g1	0.624093	0.400643	0.481977	0.242317	0.140006	0.056056	0.343241	0.092652	0.150345	0.086220
213	Four-d4-b2-m1-g1	0.535976	0.312526	0.444721	0.205061	0.135108	0.051158	0.343241	0.092652	0.140111	0.075986
213	Four-d4-b4-m1-g1	0.459298	0.235848	0.396710	0.157051	0.117633	0.033682	0.343777	0.093188	0.125243	0.061118
213	Four-d4-b4-m05-g1	0.439144	0.215693	0.380379	0.140720	0.114220	0.030270	0.344849	0.094259	0.117810	0.053685
213	Four-d4-b6-m1-g1	0.429059	0.205608	0.369256	0.129597	0.112199	0.028249	0.345290	0.094701	0.114657	0.050532
213	Four-d6-b4-m1-g1	0.459794	0.236343	0.399254	0.159595	0.114220	0.030270	0.343241	0.092652	0.124090	0.059965
219	BM25	0.443482	0.000000	0.415789	0.000000	0.097756	0.000000	0.166253	0.000000	0.092774	0.000000
219	DeepSeek-RRF	0.491460	0.047978	0.440105	0.024316	0.086478	-0.011278	0.194439	0.028186	0.101115	0.008341
219	BGE-o2	0.536577	0.093095	0.470012	0.054223	0.069951	-0.027805	0.194439	0.028186	0.092213	-0.000560
219	Ensemble3	0.564576	0.121094	0.505817	0.090028	0.071943	-0.025813	0.194439	0.028186	0.094134	0.001360
219	Four-d2-b2-m1-g1	0.506834	0.063351	0.464644	0.048855	0.088259	-0.009498	0.194439	0.028186	0.101766	0.008992
219	Four-d4-b2-m1-g1	0.518185	0.074702	0.463045	0.047256	0.088833	-0.008923	0.194439	0.028186	0.102475	0.009701
219	Four-d4-b4-m1-g1	0.467417	0.023935	0.456259	0.040470	0.097488	-0.000268	0.195856	0.029603	0.103199	0.010425
219	Four-d4-b4-m05-g1	0.451267	0.007784	0.434567	0.018778	0.096435	-0.001321	0.196910	0.030657	0.102627	0.009853
219	Four-d4-b6-m1-g1	0.467417	0.023935	0.455571	0.039782	0.096435	-0.001321	0.189345	0.023092	0.101676	0.008902
219	Four-d6-b4-m1-g1	0.467021	0.023539	0.456505	0.040716	0.096435	-0.001321	0.194439	0.028186	0.102704	0.009930
224	BM25	0.683317	0.000000	0.673153	0.000000	0.117484	0.000000	0.239346	0.000000	0.159239	0.000000
224	DeepSeek-RRF	0.699115	0.015797	0.670656	-0.002498	0.104966	-0.012518	0.303384	0.064038	0.183511	0.024272
224	BGE-o2	0.782637	0.099320	0.735041	0.061887	0.098653	-0.018831	0.303384	0.064038	0.179011	0.019773
224	Ensemble3	0.770007	0.086689	0.739015	0.065862	0.096061	-0.021423	0.303384	0.064038	0.176920	0.017681
224	Four-d2-b2-m1-g1	0.778798	0.095481	0.732431	0.059278	0.101145	-0.016338	0.303384	0.064038	0.176440	0.017201
224	Four-d4-b2-m1-g1	0.751420	0.068102	0.726226	0.053072	0.106330	-0.011154	0.303384	0.064038	0.180987	0.021749
224	Four-d4-b4-m1-g1	0.745953	0.062636	0.704248	0.031094	0.108411	-0.009073	0.304680	0.065334	0.181380	0.022141
224	Four-d4-b4-m05-g1	0.750562	0.067245	0.706518	0.033364	0.109707	-0.007776	0.302088	0.062742	0.181179	0.021940
224	Four-d4-b6-m1-g1	0.750612	0.067295	0.706261	0.033108	0.109707	-0.007776	0.295943	0.056596	0.178689	0.019450
224	Four-d6-b4-m1-g1	0.750612	0.067295	0.725687	0.052534	0.109707	-0.007776	0.303384	0.064038	0.181666	0.022427
225	BM25	0.456614	0.000000	0.473075	0.000000	0.118465	0.000000	0.456819	0.000000	0.285261	0.000000
225	DeepSeek-RRF	0.524060	0.067446	0.509303	0.036228	0.106334	-0.012131	0.394274	-0.062545	0.246522	-0.038739
225	BGE-o2	0.521281	0.064666	0.517560	0.044485	0.093003	-0.025462	0.394274	-0.062545	0.238287	-0.046974
225	Ensemble3	0.529112	0.072498	0.514518	0.041443	0.097990	-0.020475	0.394274	-0.062545	0.240480	-0.044781
225	Four-d2-b2-m1-g1	0.501372	0.044758	0.519564	0.046489	0.104401	-0.014064	0.394274	-0.062545	0.251862	-0.033399
225	Four-d4-b2-m1-g1	0.501618	0.045004	0.519675	0.046600	0.105734	-0.012731	0.394274	-0.062545	0.254843	-0.030418
225	Four-d4-b4-m1-g1	0.515322	0.058708	0.510733	0.037658	0.110334	-0.008131	0.399138	-0.057681	0.260716	-0.024545
225	Four-d4-b4-m05-g1	0.513284	0.056669	0.509379	0.036305	0.111067	-0.007398	0.405204	-0.051615	0.264007	-0.021254
225	Four-d4-b6-m1-g1	0.514141	0.057527	0.509679	0.036604	0.111799	-0.006666	0.425292	-0.031527	0.271816	-0.013444
225	Four-d6-b4-m1-g1	0.516549	0.059934	0.512591	0.039516	0.111667	-0.006798	0.394274	-0.062545	0.258644	-0.026617
233	BM25	0.606769	0.000000	0.625305	0.000000	0.082647	0.000000	0.246714	0.000000	0.134831	0.000000
233	DeepSeek-RRF	0.681184	0.074415	0.657049	0.031744	0.088051	0.005403	0.329725	0.083011	0.222656	0.087826
233	BGE-o2	0.736556	0.129787	0.709403	0.084098	0.087615	0.004968	0.329725	0.083011	0.224609	0.089778
233	Ensemble3	0.710643	0.103874	0.699076	0.073771	0.088256	0.005609	0.329725	0.083011	0.229145	0.094314
233	Four-d2-b2-m1-g1	0.717652	0.110883	0.699450	0.074145	0.084753	0.002106	0.329725	0.083011	0.214470	0.079639
233	Four-d4-b2-m1-g1	0.751680	0.144911	0.709678	0.084372	0.086036	0.003388	0.329725	0.083011	0.219623	0.084792
233	Four-d4-b4-m1-g1	0.698558	0.091788	0.689690	0.064385	0.086229	0.003582	0.329725	0.083011	0.209277	0.074446
233	Four-d4-b4-m05-g1	0.699460	0.092691	0.665334	0.040029	0.086229	0.003582	0.328019	0.081305	0.205669	0.070839
233	Four-d4-b6-m1-g1	0.696767	0.089998	0.661752	0.036446	0.085806	0.003159	0.326222	0.079508	0.199421	0.064590
233	Four-d6-b4-m1-g1	0.692756	0.085987	0.704522	0.079217	0.085473	0.002826	0.329725	0.083011	0.212934	0.078104
273	BM25	0.396020	0.000000	0.361430	0.000000	0.107417	0.000000	0.209082	0.000000	0.087577	0.000000
273	DeepSeek-RRF	0.415772	0.019752	0.376097	0.014667	0.101520	-0.005897	0.251931	0.042849	0.104451	0.016873
273	BGE-o2	0.563442	0.167423	0.469816	0.108386	0.103277	-0.004141	0.251931	0.042849	0.112901	0.025323
273	Ensemble3	0.517179	0.121159	0.436063	0.074633	0.097322	-0.010095	0.251931	0.042849	0.113018	0.025441
273	Four-d2-b2-m1-g1	0.569800	0.173781	0.449097	0.087667	0.103721	-0.003697	0.251931	0.042849	0.112452	0.024874
273	Four-d4-b2-m1-g1	0.524066	0.128046	0.419474	0.058044	0.105730	-0.001687	0.251931	0.042849	0.112727	0.025149
273	Four-d4-b4-m1-g1	0.477527	0.081508	0.409925	0.048494	0.106968	-0.000450	0.254120	0.045038	0.109177	0.021599
